running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
32768                 127.29
65536                 210.82
131072                300.11
262144                565.70
524288                591.04
1048576              1255.10
 
running circ_vring w/ n=12 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.85
8                      30.06
16                     30.39
32                     29.91
64                     30.16
128                    31.57
256                    43.21
512                    46.06
1024                   46.57
2048                   49.36
4096                   57.33
8192                  100.23
16384                 165.79
32768                 253.07
65536                 374.59
131072               1144.49
262144               2403.86
524288               5111.01
1048576             10864.23
 
running circ_rrs_ag w/ n=12 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      43.46
8                      45.27
16                     47.87
32                     50.68
64                     53.31
128                    59.26
256                    70.25
512                    84.95
1024                  166.72
2048                  297.14
4096                  170.05
8192                  165.35
16384                 178.18
32768                 195.54
65536                 224.60
131072                484.03
262144               1010.27
524288               2379.87
1048576              4793.81
 
running circ_rs_ag w/ n=12 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      42.41
8                      43.89
16                     46.17
32                     48.22
64                     49.97
128                    53.78
256                    61.30
512                    64.35
1024                  104.95
2048                  147.36
4096                  166.79
8192                   92.59
16384                 102.93
32768                 134.19
65536                 154.72
131072                213.30
262144                323.11
524288                533.32
1048576               976.07
 
running ring w/ n=12 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
