running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
32768                  99.64
65536                 118.15
131072                139.06
262144                190.18
524288                274.27
1048576               437.59
 
running ring w/ n=12 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      47.50
8                      52.03
16                     57.71
32                     65.42
64                     65.37
128                    69.38
256                    69.39
512                    71.42
1024                   71.59
2048                   79.02
4096                  104.11
8192                  102.57
16384                 106.95
32768                 113.73
65536                 188.28
131072                218.19
262144                270.56
524288                432.35
1048576               679.03
 
running recursive_doubling w/ n=12 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.79
8                      13.35
16                     13.36
32                     13.38
64                     13.55
128                    14.69
256                    19.15
512                    20.00
1024                   20.90
2048                   22.25
4096                   23.82
8192                   41.00
16384                  50.13
32768                  65.28
65536                  94.09
131072                137.88
262144                199.33
524288                363.25
1048576               704.72
 
running reduce_scatter_allgather w/ n=12 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.00
8                      14.65
16                     14.71
32                     25.30
64                     25.36
128                    25.69
256                    28.49
512                    30.41
1024                   35.55
2048                   36.88
4096                   38.67
8192                   44.79
16384                  56.86
32768                  73.82
65536                 100.46
131072                140.68
262144                203.15
524288                308.82
1048576               519.89
 
running circ_vring w/ n=12 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.03
8                      14.41
16                     14.44
32                     14.42
64                     14.53
128                    15.70
256                    20.25
512                    21.18
1024                   21.84
2048                   23.21
4096                   25.01
8192                   41.83
16384                  51.73
32768                  67.95
65536                  98.71
131072                202.11
262144                350.78
524288                721.92
1048576              1457.44
 
running circ_rrs_ag w/ n=12 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.64
8                      20.65
16                     24.70
32                     26.85
64                     28.23
128                    28.33
256                    28.61
512                    32.54
1024                   34.42
2048                   36.39
4096                   40.85
8192                   46.57
16384                  56.34
32768                  63.08
65536                  86.24
131072                139.68
262144                241.22
524288                531.93
1048576               994.72
 
running circ_rs_ag w/ n=12 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.85
8                      20.40
16                     24.37
32                     26.02
64                     27.89
128                    27.95
256                    28.29
512                    31.17
1024                   34.16
2048                   35.77
4096                   40.63
8192                   46.77
16384                  54.74
32768                  61.47
65536                  83.59
131072                105.25
262144                147.98
524288                213.13
1048576               335.07
 
running ring w/ n=12 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1493.76
8                    1521.11
16                   1513.83
32                   1513.01
64                   1524.11
128                  1553.42
256                  1630.13
512                  1772.33
1024                 1993.94
2048                 2488.22
4096                 2488.04
8192                 2489.95
16384                2499.92
32768                2578.02
65536                2621.15
131072               5189.14
262144               5093.74
524288               5335.78
1048576              5862.48
 
running recursive_doubling w/ n=12 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.14
8                      26.43
16                     26.95
32                     26.30
64                     26.52
128                    28.16
256                    33.31
512                    36.50
1024                   38.79
2048                   41.58
4096                   47.06
8192                   73.74
16384                 135.48
32768                 194.11
65536                 376.90
131072                643.65
262144               1294.08
524288               2413.94
1048576              4423.97
 
running reduce_scatter_allgather w/ n=12 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.06
8                      26.49
16                     26.19
32                     26.22
64                     26.54
128                    28.21
256                    33.18
512                    35.71
1024                   38.42
2048                   55.34
4096                   58.87
8192                   68.87
16384                  83.00
